9수01-01 | 소인수분해의 뜻을 알고, 자연수를 소인수분해 할 수 있다.
9수01-02 | 소인수분해를 이용하여 최대공약수와 최소공배수를 구할 수 있다.
9수01-03 | 다양한 상황을 이용하여 음수의 필요성을 인식하고, 양수와 음수, 정수와 유리수의 개념을 이해한다.
9수01-04 | 정수와 유리수의 대소 관계를 판단할 수 있다.
9수01-05 | 정수와 유리수의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수01-06 | 순환소수의 뜻을 알고, 유리수와 순환소수의 관계를 설명할 수 있다.
9수01-07 | 제곱근의 뜻과 성질을 알고, 제곱근의 대소 관계를 판단할 수 있다.
9수01-08 | 무리수의 개념을 이해하고, 무리수의 유용성을 인식할 수 있다.
9수01-09 | 실수의 대소 관계를 판단하고 설명할 수 있다.
9수01-10 | 근호를 포함한 식의 사칙계산의 원리를 이해하고, 그 계산을 할 수 있다.
9수02-01 | 다양한 상황을 문자를 사용한 식으로 나타내어 그 유용성을 인식하고, 식의 값을 구할 수 있다.
9수02-02 | 일차식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.
9수02-03 | 방정식과 그 해의 뜻을 알고, 등식의 성질을 설명할 수 있다.
9수02-04 | 일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.
9수02-05 | 순서쌍과 좌표를 이해하고, 그 편리함을 인식할 수 있다.
9수02-06 | 다양한 상황을 그래프로 나타내고, 주어진 그래프를 해석할 수 있다.
9수02-07 | 정비례, 반비례 관계를 이해하고, 그 관계를 표, 식, 그래프로 나타낼 수 있다.
9수02-08 | 지수법칙을 이해하고, 이를 이용하여 식을 간단히 할 수 있다.
9수02-09 | 다항식의 덧셈과 뺄셈의 원리를 이해하고, 그 계산을 할 수 있다.
9수02-10 | ‘(단항식)(다항식)’, ‘(다항식)(단항식)’과 같은 곱셈과 나눗셈의 원리를 이해하고, 그 계산을 할 수 있다.
9수02-11 | 부등식과 그 해의 뜻을 알고, 부등식의 성질을 설명할 수 있다.
9수02-12 | 일차부등식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.
9수02-13 | 미지수가 2개인 연립일차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.
9수02-14 | 함수의 개념을 이해하고, 함숫값을 구할 수 있다.
9수02-15 | 일차함수의 개념을 이해하고, 그 그래프를 그릴 수 있다.
9수02-16 | 일차함수의 그래프의 성질을 이해하고, 이를 활용하여 문제를 해결할 수 있다.
9수02-17 | 일차함수와 미지수가 2개인 일차방정식의 관계를 설명할 수 있다.
9수02-18 | 두 일차함수의 그래프와 연립일차방정식의 관계를 설명할 수 있다.
9수02-19 | 다항식의 곱셈과 인수분해를 할 수 있다.
9수02-20 | 이차방정식을 풀 수 있고, 이를 활용하여 문제를 해결할 수 있다.
9수02-21 | 이차함수의 개념을 이해한다.
9수02-22 | 이차함수의 그래프를 그릴 수 있고, 그 성질을 설명할 수 있다.
9수03-01 | 점, 선, 면, 각을 이해하고, 실생활 상황과 연결하여 점, 직선, 평면의 위치 관계를 설명할 수 있다.
9수03-02 | 평행선에서 동위각과 엇각의 성질을 이해하고 설명할 수 있다.
9수03-03 | 삼각형을 작도하고, 그 과정을 설명할 수 있다.
9수03-04 | 삼각형의 합동 조건을 이해하고, 이를 이용하여 두 삼각형이 합동인지 판별할 수 있다.
9수03-05 | 다각형의 성질을 이해하고 설명할 수 있다.
9수03-06 | 부채꼴의 중심각과 호의 관계를 이해하고, 이를 이용하여 부채꼴의 호의 길이와 넓이를 구할 수 있다.
9수03-07 | 구체적인 모형이나 공학 도구를 이용하여 다면체와 회전체의 성질을 탐구하고, 이를 설명할 수 있다.
9수03-08 | 입체도형의 겉넓이와 부피를 구할 수 있다.
9수03-09 | 이등변삼각형의 성질을 이해하고 정당화할 수 있다.
9수03-10 | 삼각형의 외심과 내심의 성질을 이해하고 정당화할 수 있다.
9수03-11 | 사각형의 성질을 이해하고 정당화할 수 있다.
9수03-12 | 도형의 닮음의 뜻과 닮은 도형의 성질을 이해하고, 닮음비를 구할 수 있다.
9수03-13 | 삼각형의 닮음 조건을 이해하고, 이를 이용하여 두 삼각형이 닮음인지 판별할 수 있다.
9수03-14 | 평행선 사이의 선분의 길이의 비를 구할 수 있다.
9수03-15 | 피타고라스 정리를 이해하고 정당화할 수 있다.
9수03-16 | 삼각비의 뜻을 알고, 간단한 삼각비의 값을 구할 수 있다.
9수03-17 | 삼각비를 활용하여 여러 가지 문제를 해결할 수 있다.
9수03-18 | 원의 현에 관한 성질과 접선에 관한 성질을 이해하고 정당화할 수 있다.
9수03-19 | 원주각의 성질을 이해하고 정당화할 수 있다.
9수04-01 | 중앙값, 최빈값의 뜻을 알고, 자료의 특성에 따라 적절한 대푯값을 선택하여 구할 수 있다.
9수04-02 | 자료를 줄기와 잎 그림, 도수분포표, 히스토그램, 도수분포다각형으로 나타내고 해석할 수 있다.
9수04-03 | 상대도수를 구하고, 상대도수의 분포를 표나 그래프로 나타내고 해석할 수 있다.
9수04-04 | 통계적 탐구 문제를 설정하고, 공학 도구를 이용하여 자료를 수집하여 분석하고, 그 결과를 해석할 수 있다.
9수04-05 | 경우의 수를 구할 수 있다.
9수04-06 | 확률의 개념과 그 기본 성질을 이해하고, 확률을 구할 수 있다.
9수04-07 | 분산과 표준편차를 구하고 자료의 분포를 설명할 수 있다.
9수04-08 | 공학 도구를 이용하여 자료를 상자그림으로 나타내고 분포를 비교할 수 있다.
9수04-09 | 자료를 산점도로 나타내고 상관관계를 말할 수 있다.
---기존 개념---
ctest-019fb892 | 확인 개념 | -
ctest-019fb893 | 확인 개념 | -
ctest-019fbb0d | 확인 개념 | -
ctest-019fbbb4 | 확인 개념 | -
ctest-019fbbc0 | 확인 개념 | -
ctest-019fbbd6 | 확인 개념 | -
ctest-019fbbdc | 확인 개념 | -
ctest-019fbbf3 | 확인 개념 | -
ctest-019fbc07 | 확인 개념 | -
ctest-019fbc25 | 확인 개념 | -
ctest-019fbc2b | 확인 개념 | -
ctest-019fbc31 | 확인 개념 | -
ctest-019fbc6f | 확인 개념 | -
ctest-019fbc8d | 확인 개념 | -
ctest-019fbc9d | 확인 개념 | -
ctest-019fbc9e | 확인 개념 | -
ctest-019fbcb0 | 확인 개념 | -
ctest-019fbcb3 | 확인 개념 | -
ctest-019fbcb6 | 확인 개념 | -
ctest-019fbcb7 | 확인 개념 | -
ctest-019fbcb8 | 확인 개념 | -
ctest-019fbcbc | 확인 개념 | -
ctest-019fbcce | 확인 개념 | -
ctest-019fbcd0 | 확인 개념 | -
ctest-019fbcd1 | 확인 개념 | -
ctest-019fbcd6 | 확인 개념 | -
ctest-019fbcd7 | 확인 개념 | -
ctest-019fbcd9 | 확인 개념 | -
ctest-019fbcdd | 확인 개념 | -
ctest-019fbce0 | 확인 개념 | -
ctest-019fbce4 | 확인 개념 | -
ctest-019fbce5 | 확인 개념 | -
ctest-019fbcf0 | 확인 개념 | -
ctest-019fbd0c | 확인 개념 | -
ctest-019fbd13 | 확인 개념 | -
ctest-019fbd1a | 확인 개념 | -
ctest-019fbd1b | 확인 개념 | -
ctest-019fbd1c | 확인 개념 | -
ctest-019fbd26 | 확인 개념 | -
ctest-019fbd2d | 확인 개념 | -
ctest-019fbd31 | 확인 개념 | -
ctest-019fbd32 | 확인 개념 | -
ctest-019fbe0d | 확인 개념 | -
ctest-019fbe0e | 확인 개념 | -
ctest-019fbe13 | 확인 개념 | -
ctest-019fbe19 | 확인 개념 | -
ctest-019fbe30 | 확인 개념 | -
ctest-019fbe5b | 확인 개념 | -
ctest-019fbe75 | 확인 개념 | -
ctest-019fbe7c | 확인 개념 | -
ctest-019fbe7e | 확인 개념 | -
ctest-019fbe8a | 확인 개념 | -
ctest-019fbe93 | 확인 개념 | -
ctest-019fbec5 | 확인 개념 | -
ctest-019fbfd0 | 확인 개념 | -
ctest-019fbfd2 | 확인 개념 | -
ctest-019fbfdb | 확인 개념 | -
ctest-019fbfe1 | 확인 개념 | -
ctest-019fbff4 | 확인 개념 | -
ctest-019fc026 | 확인 개념 | -
ctest-019fc02d | 확인 개념 | -
ctest-019fc033 | 확인 개념 | -
ctest-019fc03d | 확인 개념 | -
ctest-019fc046 | 확인 개념 | -
ctest-019fc04a | 확인 개념 | -
ctest-019fc05a | 확인 개념 | -
ctest-019fc085 | 확인 개념 | -
ctest-019fc1ad | 확인 개념 | -
ctest-019fc1b6 | 확인 개념 | -
ctest-019fc29e | 확인 개념 | -
ctest-019fc2c1 | 확인 개념 | -
ctest-019fc2e6 | 확인 개념 | -
ctest-019fc315 | 확인 개념 | -
ctest-019fc363 | 확인 개념 | -
ctest-019fc5dd | 확인 개념 | -
ctest-019fc5e5 | 확인 개념 | -
itest-019fb892 | 통합테스트 개념 | -
itest-019fb893 | 통합테스트 개념 | -
itest-019fbb0d | 통합테스트 개념 | -
itest-019fbbb4 | 통합테스트 개념 | -
itest-019fbbc0 | 통합테스트 개념 | -
itest-019fbbd6 | 통합테스트 개념 | -
itest-019fbbdc | 통합테스트 개념 | -
itest-019fbbf3 | 통합테스트 개념 | -
itest-019fbc07 | 통합테스트 개념 | -
itest-019fbc25 | 통합테스트 개념 | -
itest-019fbc2b | 통합테스트 개념 | -
itest-019fbc31 | 통합테스트 개념 | -
itest-019fbc6f | 통합테스트 개념 | -
itest-019fbc8d | 통합테스트 개념 | -
itest-019fbc9c | 통합테스트 개념 | -
itest-019fbc9d | 통합테스트 개념 | -
itest-019fbc9e | 통합테스트 개념 | -
itest-019fbcb0 | 통합테스트 개념 | -
itest-019fbcb3 | 통합테스트 개념 | -
itest-019fbcb6 | 통합테스트 개념 | -
itest-019fbcb7 | 통합테스트 개념 | -
itest-019fbcb8 | 통합테스트 개념 | -
itest-019fbcbc | 통합테스트 개념 | -
itest-019fbcce | 통합테스트 개념 | -
itest-019fbcd0 | 통합테스트 개념 | -
itest-019fbcd1 | 통합테스트 개념 | -
itest-019fbcd6 | 통합테스트 개념 | -
itest-019fbcd7 | 통합테스트 개념 | -
itest-019fbcd9 | 통합테스트 개념 | -
itest-019fbcdd | 통합테스트 개념 | -
itest-019fbce0 | 통합테스트 개념 | -
itest-019fbce4 | 통합테스트 개념 | -
itest-019fbce5 | 통합테스트 개념 | -
itest-019fbcf0 | 통합테스트 개념 | -
itest-019fbd0c | 통합테스트 개념 | -
itest-019fbd13 | 통합테스트 개념 | -
itest-019fbd1a | 통합테스트 개념 | -
itest-019fbd1b | 통합테스트 개념 | -
itest-019fbd1c | 통합테스트 개념 | -
itest-019fbd26 | 통합테스트 개념 | -
itest-019fbd2e | 통합테스트 개념 | -
itest-019fbd31 | 통합테스트 개념 | -
itest-019fbd32 | 통합테스트 개념 | -
itest-019fbe0d | 통합테스트 개념 | -
itest-019fbe0e | 통합테스트 개념 | -
itest-019fbe13 | 통합테스트 개념 | -
itest-019fbe19 | 통합테스트 개념 | -
itest-019fbe30 | 통합테스트 개념 | -
itest-019fbe5b | 통합테스트 개념 | -
itest-019fbe75 | 통합테스트 개념 | -
itest-019fbe7c | 통합테스트 개념 | -
itest-019fbe7e | 통합테스트 개념 | -
itest-019fbe8a | 통합테스트 개념 | -
